2026/06/21 14:00:35.743923 [QueueManager] No state file found at data/manager/state.json. Initializing empty registry.
2026/06/21 14:00:35.744069 [QueueManager] Server listening on :8080
2026/06/21 14:00:36.746244 [QueueManager] Registered broker "broker-1" at http://localhost:8081
2026/06/21 14:00:36.746260 [QueueManager] POST /brokers/register took 48.922µs
2026/06/21 14:00:38.746970 [QueueManager] POST /brokers/heartbeat took 30.892µs
2026/06/21 14:00:38.748226 [QueueManager] Auto-routing topic "safety-topic" to broker "broker-1" (http://localhost:8081)
2026/06/21 14:00:38.748274 [QueueManager] GET /topics/route took 50.993µs
2026/06/21 14:00:38.749262 [QueueManager] Topic "safety-topic" mapped to broker "broker-1"
2026/06/21 14:00:38.749275 [QueueManager] POST /topics/register took 28.511µs
2026/06/21 14:00:41.886301 [QueueManager] Topic "safety-topic" mapped to broker "broker-1"
2026/06/21 14:00:41.886317 [QueueManager] POST /topics/register took 39.902µs
2026/06/21 14:00:41.886301 [QueueManager] Registered broker "broker-1" at http://localhost:8081
2026/06/21 14:00:41.886362 [QueueManager] POST /brokers/register took 81.184µs
2026/06/21 14:00:43.886785 [QueueManager] POST /brokers/heartbeat took 16.141µs
2026/06/21 14:00:44.086298 [QueueManager] GET /topics/route took 20.511µs
2026/06/21 14:00:44.087083 [QueueManager] POST /qm/lease took 50.723µs
2026/06/21 14:00:44.087516 [QueueManager] POST /qm/ack took 20.112µs
2026/06/21 14:00:44.286069 [QueueManager] POST /qm/lease took 18.001µs
2026/06/21 14:00:44.286395 [QueueManager] POST /qm/ack took 11.441µs
2026/06/21 14:00:44.486008 [QueueManager] POST /qm/lease took 19.321µs
2026/06/21 14:00:44.486361 [QueueManager] POST /qm/ack took 9.971µs
2026/06/21 14:00:44.685900 [QueueManager] POST /qm/lease took 21.741µs
2026/06/21 14:00:44.686231 [QueueManager] POST /qm/ack took 10.08µs
2026/06/21 14:00:44.885821 [QueueManager] POST /qm/lease took 20.441µs
2026/06/21 14:00:44.886127 [QueueManager] POST /qm/ack took 10.19µs
2026/06/21 14:00:45.085702 [QueueManager] POST /qm/lease took 20.411µs
2026/06/21 14:00:45.086055 [QueueManager] POST /qm/ack took 12.041µs
