2026/06/21 14:00:38.746412 [Demo] Publishing 1000 messages to topic "safety-topic"...
2026/06/21 14:00:38.875826 [Demo] Published message "safety-msg-100" at offset 100
2026/06/21 14:00:38.986936 [Demo] Published message "safety-msg-200" at offset 200
2026/06/21 14:00:39.106170 [Demo] Published message "safety-msg-300" at offset 300
2026/06/21 14:00:39.217053 [Demo] Published message "safety-msg-400" at offset 400
2026/06/21 14:00:39.328054 [Demo] Published message "safety-msg-500" at offset 500
2026/06/21 14:00:39.438383 [Demo] Published message "safety-msg-600" at offset 600
2026/06/21 14:00:39.549123 [Demo] Published message "safety-msg-700" at offset 700
2026/06/21 14:00:39.659943 [Demo] Published message "safety-msg-800" at offset 800
2026/06/21 14:00:39.770435 [Demo] Published message "safety-msg-900" at offset 900
2026/06/21 14:00:39.880537 [Demo] Published message "safety-msg-1000" at offset 1000
2026/06/21 14:00:39.880550 [Demo] Successfully published 1000 messages in 1.134058882s
